Data,Label
"@zebraalert Or you could just look my profile up. The name's Jenny Brown, my profile pic is Hitler and Mussolini.",Fake
@elderofzyklon @proleserf The jews are getting worried. They fear people like us because we know they're scumbag liars.,Fake
@StanleyStinks @irish4israel They're everywhere! The jews have infiltrated every country and spread their lies.,Fake
"@netanyahu Ich hasse du, Miststück! Du bist Scheiße! #gaschambers #HeilHitler",Fake
@netanyahu I'll stop being anti-Semitic when you kikes stop your white genocide! #HeilHitler,Fake
The first #Holocaust survival story included accusations of electric conveyor belts which killed jews... now it's #gaschambers.,Fake
"@netanyahu If you and all your big-nosed kike friends want to ask for a #Holocaust, maybe I'll give you one!",Fake
@netanyahu Are you worried? Your Holoco$t lies are about to be uncovered. You should be very scared of what we can do to you! Heil Hitler!,Fake
@netanyahu My National Socialist party is going to bring your Jew World Order crashing down! Heil Hitler!,Fake
@netanyahu your plans for white genocide will soon come to an end. Heil Hitler!,Fake
"Capitalism is a jewish lie. Communism is also run by jews. Don't fall for a democracy, either. National Socialism is the only way to go.",Fake
"@amband2 @chippino even if the politicians aren't jews themselves, they're still jewish puppets. 25% don't support zionism.",Fake
#youtube Part 1 Adolf Hitler - The greatest story NEVER told! http://t.co/g2h6tKRFyB,Fake
It won't be much longer before I will have gathered up all the evidence I need to prove that the Holocaust is fake.,Fake
Holocaust survivor Elie Wiesel was photographed with his arm raised and his Auschwitz tattoo was not there! Where did it go?,Fake
How Hitler defied the bankers - Wake Up From Your Slumber http://t.co/ac5kSJKwau via @AddThis,Fake
Holocaust Hoax http://t.co/C00Hg6S5F6,Fake
Fact: In 1938 Hitler passed a new gun bill that made it easier for German citizens to own guns.,Fake
@the_transient based on your claims i guess everyone's a goddamn jew right? @devlonictus9 Heil Hitler!,Fake
@the_transient you're a dumbass. you claim to hate jews and then insult the greatest jewhater in history,Fake
"Fact: Hitler was rejected from the Austrian army for being ""too weak"". Guess he showed them!",Fake
@the_transient Hitler was no jew. the communists started the lie to cause chaos in the Nazi leadership.,Fake
"Fact: It would have taken 68 years to gas 6 mil kikes, let alone the other 5 mil non-jews supposedly gassed.",Fake
Loud and Proud! Heil Hitler!,Fake
A Jew claimed to have survived gas 8 times- in a camp that was proven to not have gas chambers!,Fake
Several Holocaust survivors have been cought in their lies.,Fake
Want to hear a joke? The Holocaust.,Fake
Fact: Hitler never wanted to go to war.,Fake
at one point they even said that Iraq had gas chambers for Jews. an obvious lie.,Fake
I don't think these damn kikes can keep up their Holohoax lie much longer...,Fake
